Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1
1963,2077,693,803,1280,1405,1284,1401,916,1088
555,667,669,772,798,901,850,955,458,560
587,692,899,1020,815,944,891,992,453,544
1042,1198,1501,1598,1042,1154,492,951,498,600
2462,2557,1078,1189,1833,1941,2068,2176,2004,2192
2541,2652,759,874,2386,2497,1114,1238,2043,2257
985,1109,1078,1185,937,1083,891,1047,476,546
731,849,658,1439,867,1004,937,1061,428,497
1120,1252,1455,1571,1054,1175,1095,1208,527,626
845,970,810,944,743,866,822,936,409,480
1383,1579,637,863,1904,2009,1151,1542,840,953
1145,1256,919,1026,1241,1632,1072,1180,745,919
885,997,782,884,750,842,794,901,1002,1219
815,937,1658,1900,569,810,876,1000,477,569
706,813,1186,1306,771,841,748,846,528,629
551,628,1308,1400,634,697,603,696,442,516
587,660,814,950,631,718,583,662,342,437
552,632,775,888,595,686,526,615,368,435
689,766,600,679,644,731,489,664,459,580
664,763,397,759,739,939,541,686,506,595
518,607,401,519,569,656,533,620,336,399
555,610,759,845,464,593,618,700,320,391
542,635,668,758,565,655,637,716,399,471
495,616,474,560,667,755,582,668,395,443
1019,1220,573,662,1175,1281,979,1079,919,1086
696,803,620,708,704,830,733,845,487,578
1041,1377,530,608,1075,1435,1538,1723,1110,1237
889,1012,858,952,988,1180,1461,2120,1429,1770
1287,1412,629,770,1081,1203,1295,1438,1046,1181
882,1018,1648,1763,866,993,961,1075,940,1056
565,654,1880,2014,533,633,603,693,393,462
1362,1785,1093,1329,3046,3737,1472,1680,2621,2783
1792,2015,753,911,1577,1908,1401,1600,1396,1595
2387,2662,561,636,2342,2575,1407,1890,2058,2315
2766,3043,1083,1514,1036,1803,5401,7337,2955,3276
1232,1401,1436,1659,891,1023,983,1154,875,957
1500,1656,2867,3089,1258,1537,1089,1360,1272,1360
1132,1285,5101,7236,2439,2574,1742,1872,1743,1878
1614,1788,994,1171,1420,1686,1447,1587,1275,1430
1017,1199,1053,1198,994,1128,1372,1466,995,1119
2425,2538,1507,1668,3139,3646,2073,2207,2797,2908
650,1171,1870,2003,1635,1791,1153,1387,1031,1149
1339,1497,953,1103,823,1284,1694,1837,1215,1368
1217,1414,3126,3237,3285,3537,1653,2101,3252,3537
1203,1316,1257,1429,614,1051,923,1048,1084,1250
501,574,1315,1627,622,697,428,506,499,574
675,756,1393,1702,698,773,763,836,564,646
598,662,1186,1291,532,596,499,570,442,533
524,595,629,686,687,760,563,692,476,539
504,551,509,617,547,616,446,496,421,487
947,1087,559,625,677,749,585,749,701,839
950,1087,350,502,947,1082,828,935,1023,1132
2038,2514,458,523,2752,2970,1496,1723,2463,2782
2252,2445,740,812,2675,2851,1643,2310,2151,2519
3289,3528,786,911,1606,1904,3428,3616,2408,2819
2366,2648,1861,2085,1845,2071,1285,2278,2448,2687
2302,3160,1201,1408,3482,3797,2195,3116,4194,4650
2205,2443,2553,2955,1671,1854,1320,1594,2168,2434
2890,3109,2596,2849,2386,2833,1594,2068,2839,3156
1472,1733,4152,4391,1440,1625,1299,1510,1627,1812
2625,3037,1561,2094,3465,3735,2997,3206,2557,3049
784,876,2254,2480,1225,1323,1105,1221,1187,1324
1503,1603,1595,1769,670,1093,1160,1355,1063,1307
3168,3379,1020,1968,3017,3215,3018,3650,1912,2628
1946,2374,1152,1265,1774,2189,1256,1875,1801,2014
5061,5324,1002,1122,2625,3661,3133,4336,4119,4564
1312,2443,1843,2492,2121,2452,2272,2761,2513,2710
6021,6385,1205,1710,4498,4705,4723,5117,6959,7337
437,514,1861,2907,663,809,547,654,612,689
318,500,1897,2081,628,706,579,1052,643,739
367,445,6283,6675,532,712,514,624,604,694
1140,1425,854,962,1247,1449,1349,1592,1219,1432
837,1015,828,918,1724,1944,1180,1492,1583,1807
793,915,582,678,1461,1619,1493,1711,1476,1669
2472,2635,1298,1572,3194,3428,1245,1428,3644,3855
1621,1805,1459,1671,2848,3073,2687,3001,2488,2739
1453,1676,1276,1530,2930,3135,2372,2584,6372,6540
808,941,2683,3205,1194,1393,980,1220,994,1151
770,908,2324,2586,940,1076,987,1149,846,997
327,393,2420,2776,483,549,340,410,390,463
292,351,1232,1441,495,579,276,338,414,473
849,956,931,1088,780,853,2202,2272,1877,1945
436,500,439,521,402,482,340,397,348,399
423,474,541,589,405,479,348,407,356,406
294,358,3301,3367,364,403,453,500,320,380
326,386,356,460,390,442,450,505,397,465
454,592,359,420,732,813,385,480,696,760
