Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
772,1063,996,857,1138,1884,1957,2023,2083,2139,704,793,1027,955,868,2273,2545,2857,2718,3053,829,911,1118,1064,986
459,841,765,685,534,810,893,959,1026,1068,792,921,1149,1075,1002,532,778,710,661,599,680,763,911,833,991
969,1417,1307,1203,1097,1148,1267,1353,1442,1524,707,858,1111,1033,950,1052,1419,1322,1236,1148,725,870,1073,1017,950
1158,1731,1626,1532,1422,1669,1773,1861,1938,2026,685,903,1113,1051,987,1392,1836,1678,1581,1486,2292,2359,2534,2476,2419
602,1205,1133,1055,946,1230,1334,1437,1520,1602,699,780,1002,924,853,1063,1399,1310,1231,1150,665,750,884,817,958
982,1312,1254,1078,1166,1131,1206,1393,1487,1574,1206,1311,1575,1489,1411,1004,1332,1251,1178,1101,671,1022,1319,1225,1144
2166,2532,3203,2879,3555,7173,8774,9405,10993,12711,2636,2755,3043,2953,2860,4132,5394,5159,4838,4611,999,2198,2487,2395,2300
817,938,1362,1229,1012,1112,1245,1669,1774,1862,932,1042,1393,1273,1168,1290,1635,1552,1473,1385,1065,1154,1456,1360,1259
1096,1526,1432,1322,1216,718,830,1684,1773,1851,731,842,1171,1090,989,1444,1810,1725,1626,1529,1064,1180,1441,1361,1291
1076,2049,2292,2174,2405,2987,3066,3132,3197,3261,5351,5454,12314,10309,5564,3738,4210,4083,3920,3830,7275,7520,12846,10997,9400
1155,1408,1564,1267,1508,606,1068,1181,1304,1391,1042,1154,1505,1392,1255,1166,1484,1403,1336,1254,1315,1412,1698,1607,1511
826,1925,2123,1719,2031,1690,1859,1958,2042,2134,1364,1453,1731,1668,1586,1743,2066,1997,1908,1828,931,1025,1277,1195,1108
901,1554,1216,1117,1015,648,938,1053,1168,1266,4332,4434,4705,4613,4524,1464,1775,1695,1621,1542,2885,3379,3502,3618,3793
909,1356,1240,1142,1034,1125,1264,1360,1441,1521,1368,1475,1749,1654,1565,1011,1225,1170,1121,1069,996,1099,1383,1271,1187
1030,1427,1332,1241,1141,1094,1230,1325,1427,1529,2245,2345,2614,2526,2442,1339,1686,1615,1543,1459,1990,2113,2221,2333,2445
957,1330,1247,1150,1048,1054,1164,1263,1359,1989,1261,1476,2140,2072,1980,1246,1499,1740,1625,1852,1156,1397,1894,1822,1715
1037,1521,1438,1344,1232,1045,1540,1649,1748,1852,544,896,1176,1077,997,1167,1365,1531,1459,1266,1113,1225,1515,1420,1328
3352,4021,5110,4897,5316,2597,2700,3106,3201,2790,1266,1387,1990,1884,1762,5487,5636,5871,5790,5717,1372,1815,2176,2064,1941
