Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
1385,1500,1597,1692,1920,2014,2104,2194,2365,5161,3431,3606,3524,3713,3902,3813,3985,4067,4142,4220
541,1090,1157,1215,1274,1331,1386,1446,1504,1739,1145,1350,1254,1445,1637,1541,1713,1767,1820,1871
580,642,690,740,793,841,1008,1056,1102,1147,375,494,438,549,861,805,914,970,1023,1089
515,598,1044,1112,1147,1189,1241,1276,1309,1349,622,785,705,863,1018,940,1080,1211,1257,1302
704,755,798,842,887,932,980,1103,1148,1201,625,743,687,797,904,850,957,1100,1220,1157
575,613,644,684,852,894,934,984,1034,1094,559,665,615,697,791,737,845,1007,941,1060
683,754,819,882,946,1009,1072,1243,1303,1367,579,688,637,741,948,796,1008,1071,1204,1132
663,735,794,854,917,978,1038,1204,1265,1335,910,1038,979,1098,1216,1157,1274,1333,1391,1450
518,557,717,750,779,809,840,871,902,941,543,635,595,682,763,715,817,979,914,1033
562,619,671,721,771,1008,1067,1131,1184,1246,555,681,621,741,860,800,919,1081,1212,1145
636,685,724,762,800,837,876,914,996,1045,396,481,442,702,779,742,817,855,892,939
618,696,754,1104,1160,1214,1268,1324,1363,1410,397,478,441,703,781,743,819,857,893,940
1557,1669,1757,1848,1934,2018,2104,2189,2279,2374,1922,2129,2035,2228,2429,2335,2522,2616,2712,2800
1006,1083,1152,1218,1284,1349,1414,1481,1547,1629,984,1160,1072,1246,1412,1326,1512,1742,1916,1824
2181,2331,2455,2573,2726,2973,3195,3426,3846,4108,2046,2467,2260,2663,3029,2844,3658,3839,4023,4251
4426,4710,4954,5186,5436,5664,5905,6134,6329,6511,3514,3983,3760,4208,5208,4981,5408,5601,5785,6190
3750,4022,4246,4474,4684,4884,5087,5293,5489,5687,5183,5587,5396,5769,6145,5946,6321,6484,6674,6864
2020,2267,2452,2624,2804,3007,3184,3364,3553,3784,1942,2317,2138,2505,2851,2680,3458,3641,3817,4026
2415,2622,2816,3026,3213,3416,3614,3846,4076,4279,2050,2460,2251,2662,3056,2876,3655,3828,4008,4225
4743,4989,5189,5419,5665,5893,6095,6268,6433,6598,5235,5608,5422,5779,6134,5964,6298,6468,6626,6826
4016,4365,4605,4825,5056,5264,5489,5731,5944,6202,2832,3287,3066,3478,3867,3693,4140,5355,5551,4739
973,2206,2390,2558,2711,2862,3031,3195,3361,3568,1597,1887,1734,2030,2345,2190,2881,3044,3203,3496
1425,1535,1640,1742,1839,1936,2036,2137,2240,2368,1194,1420,1308,1529,1734,1633,2109,2222,2310,2386
870,955,1039,1106,1174,1240,1303,1371,1437,1505,1018,1187,1106,1262,1398,1327,1465,1674,1839,1750
856,941,1019,1092,1160,1224,1292,1422,1483,1554,766,910,844,967,1090,1027,1151,1216,1273,1332
647,704,753,1212,1275,1324,1385,1441,1507,1567,1362,1471,1422,1525,1629,1578,1681,1733,1784,1836
1576,1654,1715,1775,1853,1914,1978,2037,2094,2152,1613,1767,1691,1835,1972,1905,2036,2102,2158,2210
771,855,920,983,1044,1109,1172,1237,1314,1380,1006,1090,1052,1177,1289,1234,1342,1503,1440,1609
804,873,931,987,1041,1092,1140,1202,1254,1302,618,697,660,901,1008,959,1059,1111,1161,1234
744,822,889,956,1021,1086,1151,1216,1292,1355,705,793,755,832,925,884,998,1115,1035,1074
884,935,994,1051,1112,1169,1240,1294,1353,1413,813,963,899,1027,1149,1086,1334,1396,1526,1457
720,771,817,876,932,989,1061,1121,1172,1222,1031,1150,1094,1212,1334,1276,1393,1579,1507,1638
811,877,937,990,1045,1152,1208,1261,1316,1706,1425,1582,1514,1652,1804,1726,1874,1942,2013,2078
687,739,1008,1071,1119,1162,1199,1234,1270,1321,589,968,906,1038,1171,1107,1235,1301,1380,1444
1928,2096,2274,2504,2709,2950,3099,3253,3455,3644,2929,3381,3147,3627,4061,3853,4218,4338,4457,4572
3164,3383,3595,3781,3958,4148,4352,4540,4728,4908,4962,5394,5196,5566,5912,5740,6089,6318,6511,6683
2729,2898,3111,3326,3513,3727,3926,4514,4722,4950,2357,2666,2516,2802,3067,2935,3213,3374,3558,3708
1665,1815,2015,2198,2366,2544,2920,3041,3144,3294,1756,2056,1938,2157,2362,2256,2462,2766,2644,2893
4480,4684,4848,5001,5156,5307,5462,5614,5789,5972,2047,2454,2259,3067,3448,3262,3656,3921,4186,4399
4742,4962,5157,5346,5561,5751,5957,6145,6296,6443,2184,2627,2420,3098,3476,3292,3661,4251,4527,3861
1822,2006,2193,2498,2687,2850,3002,3158,3339,3548,2397,2703,2584,2808,3083,2914,3609,3780,3951,4133
2013,2175,2342,2514,2684,2865,3010,3150,3289,3429,1679,1899,1796,2005,2209,2111,2328,2429,2527,2622
4617,4932,5112,5267,5416,5563,5711,5882,6048,6645,4298,4641,4471,4791,5142,4963,5295,5444,5592,5761
4520,4798,4935,5094,5240,5389,5531,5666,5800,6023,3517,3874,3714,4067,4370,4241,4543,4702,4846,4971
1244,1582,1725,1856,2004,2129,2233,2339,2435,2541,1825,2118,1956,2235,2842,2740,2927,3010,3091,3192
1058,1142,1223,1304,1384,1459,1656,1741,1817,1911,977,1174,1080,1258,1560,1340,1652,1743,1908,1822
694,758,816,877,932,968,1030,1092,1139,1174,636,744,695,779,1047,995,1100,1151,1212,1286
912,978,1039,1102,1164,1224,1284,1454,1516,1593,1189,1322,1259,1375,1477,1427,1526,1577,1631,1708
657,700,899,944,992,1042,1101,1159,1210,1282,766,890,831,955,1082,1020,1144,1203,1266,1327
2011,2182,2377,2582,2793,2993,3162,3293,3432,3566,2391,2778,2593,2957,3309,3135,3996,4200,4384,4607
4325,4611,4815,5020,5207,5396,5615,5841,6134,6365,5567,6058,5821,6308,6729,6517,7433,7626,7836,8068
6028,6279,6460,6649,6830,7034,7231,7419,7637,7830,6038,6491,6307,6664,7073,6854,7268,7440,7642,7810
2383,2615,2836,3038,3227,3423,3612,3812,3980,4143,2295,2673,2495,2861,3582,3326,3762,3921,4274,4084
2313,2501,2652,2807,2955,3097,3262,3412,3574,3747,1497,1769,1646,1895,2168,2018,2857,4182,4378,3004
